id,channel_bandwidth,event_timestamp,mac_address,noise_floor,primary_channel,primary_phy,received_antenna_id,rssi,secondary_channel,transmit_protocol,beacon_event_id,id,area_ceiling,area_count,area_floor,area_radius,barometer_accuracy,classification_type,epoch2019,geodetic_altitude_meters,height_above_takeoff_meters,height_type,horizontal_accuracy,identity_type,latitude,longitude,operational_status,operator_geodetic_altitude_meters,operator_latitude,operator_location_type,operator_longitude,pressure_altitude_meters,speed_accuracy,speed_meters_second,time_of_applicability,time_of_applicability_accuracy,track_direction,ua_type,uas_category,uas_class,unique_id,unique_id_length,vertical_accuracy,vertical_speed_meters_second,epoch2019_datetime,,,,
19159474,0,42:55.6,60601f2c7965,0,2437,0,WIFI_3,-86,0,0,19159469,19159469,24,1,24,0,0,0,154564974,627,420.5,0,10,1,39.9746666,-86.16384888,2,230,39.97469711,1,-86.16386414,-1000,2,0,25748,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-5,11/24/2023 22:42,,,,
19159064,0,42:17.6,60601f2c7965,0,2437,0,WIFI_3,-86,0,0,19159059,19159059,24,1,24,0,0,0,154564936,701,499.5,0,10,1,39.9746666,-86.16385651,2,230,39.9746933,1,-86.16386414,-1000,2,0,25368,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,0,11/24/2023 22:42,,,,
19159063,0,42:17.6,60601f2c7965,0,2437,0,WIFI_3,-86,0,0,19159058,19159058,24,1,24,0,0,0,154564904,701,499.5,0,10,1,39.9746666,-86.16385651,2,232,39.97468185,1,-86.16385651,-1000,2,0,25368,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,0,11/24/2023 22:41,,,,
19159062,0,42:17.6,60601f2c7965,0,2437,0,WIFI_3,-86,0,0,19159057,19159057,24,1,24,0,0,0,154564904,601,392,0,10,1,39.97467041,-86.16383362,2,232,39.97468185,1,-86.16385651,-1000,2,0,25045,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/24/2023 22:41,,,,
19158780,0,41:45.6,60601f2c7965,0,2437,0,WIFI_3,-83,0,0,19158775,19158775,24,1,24,0,0,0,154564904,601,392,0,10,1,39.97467041,-86.16383362,2,232,39.97468185,1,-86.16385651,-1000,2,0,25045,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/24/2023 22:41,,,,
19158779,0,41:45.6,60601f2c7965,0,2437,0,WIFI_3,-83,0,0,19158774,19158774,24,1,24,0,0,0,154564888,601,392,0,10,1,39.97467041,-86.16383362,2,229,39.97468567,1,-86.16385651,-1000,2,0,25045,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/24/2023 22:41,,,,
19158778,0,41:45.5,60601f2c7965,0,2437,0,WIFI_3,-83,0,0,19158773,19158773,24,1,24,0,0,0,154564888,521,306,0,10,1,39.97467422,-86.16383362,2,229,39.97468567,1,-86.16385651,-1000,2,0,24887,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/24/2023 22:41,,,,
19158598,0,41:29.7,60601f2c7965,0,2437,0,WIFI_3,-82,0,0,19158593,19158593,24,1,24,0,0,0,154564877,521,306,0,10,1,39.97467422,-86.16383362,2,228,39.97468567,1,-86.16385651,-1000,2,0,24887,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/24/2023 22:41,,,,
19158597,0,41:29.7,60601f2c7965,0,2437,0,WIFI_3,-82,0,0,19158592,19158592,24,1,24,0,0,0,154564888,521,306,0,10,1,39.97467422,-86.16383362,2,229,39.97468567,1,-86.16385651,-1000,2,0,24887,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/24/2023 22:41,,,,
19158596,0,41:29.6,60601f2c7965,0,2437,0,WIFI_3,-82,0,0,19158591,19158591,24,1,24,0,0,0,154564877,465,245.5,0,10,1,39.97467041,-86.16383362,2,228,39.97468567,1,-86.16385651,-1000,2,0,24775,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/24/2023 22:41,,,,
